,BIO,CL,CLCCS,NGCT,NGCC
2019,63889,211113,55556,134168,102779
2020,63889,211113,55556,134168,102779
2021,63889,211113,55556,134168,102779
2022,63889,211113,55556,134168,102779
2023,63889,211113,55556,134168,102779
2024,63889,211113,55556,134168,102779
2025,63889,211113,55556,134168,102779
2026,63889,211113,55556,134168,102779
2027,63889,211113,55556,134168,102779
2028,63889,211113,55556,134168,102779
2029,63889,211113,55556,134168,102779
2030,63889,211113,55556,134168,102779
2031,63889,211113,55556,134168,102779
2032,63889,211113,55556,134168,102779
2033,63889,211113,55556,134168,102779
2034,63889,211113,55556,134168,102779
2035,63889,211113,55556,134168,102779
2036,63889,211113,55556,134168,102779
2037,63889,211113,55556,134168,102779
2038,63889,211113,55556,134168,102779
2039,63889,211113,55556,134168,102779
2040,63889,211113,55556,134168,102779
2041,63889,211113,55556,134168,102779
2042,63889,211113,55556,134168,102779
2043,63889,211113,55556,134168,102779
2044,63889,211113,55556,134168,102779
2045,63889,211113,55556,134168,102779
2046,63889,211113,55556,134168,102779
2047,63889,211113,55556,134168,102779
2048,63889,211113,55556,134168,102779
2049,63889,211113,55556,134168,102779
2050,63889,211113,55556,134168,102779
