,HYD,SPV,WND,BIO,COA,COC,URN,CTG,CCG,P2G,FCL
2019,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.25,0
2020,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.25,0
2021,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.235,0
2022,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.235,0
2023,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.22,0
2024,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.22,0
2025,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.205,0
2026,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.205,0
2027,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.19,0
2028,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.19,0
2029,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.176,0
2030,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.176,0
2031,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.176,0
2032,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.176,0
2033,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.163,0
2034,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.163,0
2035,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.163,0
2036,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.163,0
2037,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.149,0
2038,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.149,0
2039,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.149,0
2040,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.149,0
2041,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.136,0
2042,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.136,0
2043,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.136,0
2044,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.136,0
2045,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.136,0
2046,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.124,0
2047,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.124,0
2048,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.124,0
2049,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.124,0
2050,1,1,1,3.957,2.55,2.858,3.065,2.814,1.934,1.111,0
