,HYD,WND,BIO,SPV,URN,COA,COC,CCG,CTG,P2G,FCL
2019,1,1,1,1,1,1,1,1,1,0,0.6
2020,1,1,1,1,1,1,1,1,1,0,0.6
2021,1,1,1,1,1,1,1,1,1,0,0.6
2022,1,1,1,1,1,1,1,1,1,0,0.6
2023,1,1,1,1,1,1,1,1,1,0,0.6
2024,1,1,1,1,1,1,1,1,1,0,0.6
2025,1,1,1,1,1,1,1,1,1,0,0.6
2026,1,1,1,1,1,1,1,1,1,0,0.6
2027,1,1,1,1,1,1,1,1,1,0,0.6
2028,1,1,1,1,1,1,1,1,1,0,0.6
2029,1,1,1,1,1,1,1,1,1,0,0.6
2030,1,1,1,1,1,1,1,1,1,0,0.6
2031,1,1,1,1,1,1,1,1,1,0,0.6
2032,1,1,1,1,1,1,1,1,1,0,0.6
2033,1,1,1,1,1,1,1,1,1,0,0.6
2034,1,1,1,1,1,1,1,1,1,0,0.6
2035,1,1,1,1,1,1,1,1,1,0,0.6
2036,1,1,1,1,1,1,1,1,1,0,0.6
2037,1,1,1,1,1,1,1,1,1,0,0.6
2038,1,1,1,1,1,1,1,1,1,0,0.6
2039,1,1,1,1,1,1,1,1,1,0,0.6
2040,1,1,1,1,1,1,1,1,1,0,0.6
2041,1,1,1,1,1,1,1,1,1,0,0.6
2042,1,1,1,1,1,1,1,1,1,0,0.6
2043,1,1,1,1,1,1,1,1,1,0,0.6
2044,1,1,1,1,1,1,1,1,1,0,0.6
2045,1,1,1,1,1,1,1,1,1,0,0.6
2046,1,1,1,1,1,1,1,1,1,0,0.6
2047,1,1,1,1,1,1,1,1,1,0,0.6
2048,1,1,1,1,1,1,1,1,1,0,0.6
2049,1,1,1,1,1,1,1,1,1,0,0.6
2050,1,1,1,1,1,1,1,1,1,0,0.6
