TIMESLICE,DAYTYPE,VALUE
S1,1,1
S2,1,1
S3,1,1
S4,1,1
S5,1,1
S6,1,1
S7,1,1
S8,1,1
S9,1,1
S10,1,1
S11,1,1
S12,1,1
S13,1,1
S14,1,1
S15,1,1
S16,1,1
S17,1,1
S18,1,1
S19,1,1
S20,1,1
S21,1,1
S22,1,1
S23,1,1
S24,1,1
F1,1,1
F2,1,1
F3,1,1
F4,1,1
F5,1,1
F6,1,1
F7,1,1
F8,1,1
F9,1,1
F10,1,1
F11,1,1
F12,1,1
F13,1,1
F14,1,1
F15,1,1
F16,1,1
F17,1,1
F18,1,1
F19,1,1
F20,1,1
F21,1,1
F22,1,1
F23,1,1
F24,1,1
W1,1,1
W2,1,1
W3,1,1
W4,1,1
W5,1,1
W6,1,1
W7,1,1
W8,1,1
W9,1,1
W10,1,1
W11,1,1
W12,1,1
W13,1,1
W14,1,1
W15,1,1
W16,1,1
W17,1,1
W18,1,1
W19,1,1
W20,1,1
W21,1,1
W22,1,1
W23,1,1
W24,1,1
SP1,1,1
SP2,1,1
SP3,1,1
SP4,1,1
SP5,1,1
SP6,1,1
SP7,1,1
SP8,1,1
SP9,1,1
SP10,1,1
SP11,1,1
SP12,1,1
SP13,1,1
SP14,1,1
SP15,1,1
SP16,1,1
SP17,1,1
SP18,1,1
SP19,1,1
SP20,1,1
SP21,1,1
SP22,1,1
SP23,1,1
SP24,1,1
