TIMESLICE,DAILYTIMEBRACKET,VALUE
S1,1,1
S2,2,1
S3,3,1
S4,4,1
S5,5,1
S6,6,1
S7,7,1
S8,8,1
S9,9,1
S10,10,1
S11,11,1
S12,12,1
S13,13,1
S14,14,1
S15,15,1
S16,16,1
S17,17,1
S18,18,1
S19,19,1
S20,20,1
S21,21,1
S22,22,1
S23,23,1
S24,24,1
F1,1,1
F2,2,1
F3,3,1
F4,4,1
F5,5,1
F6,6,1
F7,7,1
F8,8,1
F9,9,1
F10,10,1
F11,11,1
F12,12,1
F13,13,1
F14,14,1
F15,15,1
F16,16,1
F17,17,1
F18,18,1
F19,19,1
F20,20,1
F21,21,1
F22,22,1
F23,23,1
F24,24,1
W1,1,1
W2,2,1
W3,3,1
W4,4,1
W5,5,1
W6,6,1
W7,7,1
W8,8,1
W9,9,1
W10,10,1
W11,11,1
W12,12,1
W13,13,1
W14,14,1
W15,15,1
W16,16,1
W17,17,1
W18,18,1
W19,19,1
W20,20,1
W21,21,1
W22,22,1
W23,23,1
W24,24,1
SP1,1,1
SP2,2,1
SP3,3,1
SP4,4,1
SP5,5,1
SP6,6,1
SP7,7,1
SP8,8,1
SP9,9,1
SP10,10,1
SP11,11,1
SP12,12,1
SP13,13,1
SP14,14,1
SP15,15,1
SP16,16,1
SP17,17,1
SP18,18,1
SP19,19,1
SP20,20,1
SP21,21,1
SP22,22,1
SP23,23,1
SP24,24,1
