,VALUE
0,HYDCANQC
1,SPVCANQC
2,WNDCANQC
3,BIOCANQC
4,HYDCANAT
5,SPVCANAT
6,WNDCANAT
7,BIOCANAT
8,HYDCANWS
9,SPVCANWS
10,WNDCANWS
11,BIOCANWS
12,HYDCANOT
13,SPVCANOT
14,WNDCANOT
15,BIOCANOT
16,HYDCANMW
17,SPVCANMW
18,WNDCANMW
19,BIOCANMW
20,COACAN
21,GASCAN
22,URNCAN
23,COAINT
24,GASINT
25,URNINT
26,COA
27,GAS
28,URN
29,ELCCANQC01
30,ELCCANQC02
31,ELCCANAT01
32,ELCCANAT02
33,ELCCANWS01
34,ELCCANWS02
35,ELCCANOT01
36,ELCCANOT02
37,ELCCANMW01
38,ELCCANMW02
0,HYDCANQC
1,SPVCANQC
2,WNDCANQC
3,BIOCANQC
4,HYDCANAT
5,SPVCANAT
6,WNDCANAT
7,BIOCANAT
8,HYDCANWS
9,SPVCANWS
10,WNDCANWS
11,BIOCANWS
12,HYDCANOT
13,SPVCANOT
14,WNDCANOT
15,BIOCANOT
16,HYDCANMW
17,SPVCANMW
18,WNDCANMW
19,BIOCANMW
20,COACAN
21,GASCAN
22,URNCAN
23,ELCCANQC01
24,ELCCANQC02
25,ELCCANAT01
26,ELCCANAT02
27,ELCCANWS01
28,ELCCANWS02
29,ELCCANOT01
30,ELCCANOT02
31,ELCCANMW01
32,ELCCANMW02
