REGION,STORAGE,YEAR,VALUE
"W","TANK",2019,0
"W","TANK",2020,0
"W","TANK",2021,0
"W","TANK",2022,0
"W","TANK",2023,0
"W","TANK",2024,0
"W","TANK",2025,0
"W","TANK",2026,0
"W","TANK",2027,0
"W","TANK",2028,0
"W","TANK",2029,0
"W","TANK",2030,0
"W","TANK",2031,0
"W","TANK",2032,0
"W","TANK",2033,0
"W","TANK",2034,0
"W","TANK",2035,0
"W","TANK",2036,0
"W","TANK",2037,0
"W","TANK",2038,0
"W","TANK",2039,0
"W","TANK",2040,0
"W","TANK",2041,0
"W","TANK",2042,0
"W","TANK",2043,0
"W","TANK",2044,0
"W","TANK",2045,0
"W","TANK",2046,0
"W","TANK",2047,0
"W","TANK",2048,0
"W","TANK",2049,0
"W","TANK",2050,0
"MW","TANK",2019,0
"MW","TANK",2020,0
"MW","TANK",2021,0
"MW","TANK",2022,0
"MW","TANK",2023,0
"MW","TANK",2024,0
"MW","TANK",2025,0
"MW","TANK",2026,0
"MW","TANK",2027,0
"MW","TANK",2028,0
"MW","TANK",2029,0
"MW","TANK",2030,0
"MW","TANK",2031,0
"MW","TANK",2032,0
"MW","TANK",2033,0
"MW","TANK",2034,0
"MW","TANK",2035,0
"MW","TANK",2036,0
"MW","TANK",2037,0
"MW","TANK",2038,0
"MW","TANK",2039,0
"MW","TANK",2040,0
"MW","TANK",2041,0
"MW","TANK",2042,0
"MW","TANK",2043,0
"MW","TANK",2044,0
"MW","TANK",2045,0
"MW","TANK",2046,0
"MW","TANK",2047,0
"MW","TANK",2048,0
"MW","TANK",2049,0
"MW","TANK",2050,0
"ME","TANK",2019,0
"ME","TANK",2020,0
"ME","TANK",2021,0
"ME","TANK",2022,0
"ME","TANK",2023,0
"ME","TANK",2024,0
"ME","TANK",2025,0
"ME","TANK",2026,0
"ME","TANK",2027,0
"ME","TANK",2028,0
"ME","TANK",2029,0
"ME","TANK",2030,0
"ME","TANK",2031,0
"ME","TANK",2032,0
"ME","TANK",2033,0
"ME","TANK",2034,0
"ME","TANK",2035,0
"ME","TANK",2036,0
"ME","TANK",2037,0
"ME","TANK",2038,0
"ME","TANK",2039,0
"ME","TANK",2040,0
"ME","TANK",2041,0
"ME","TANK",2042,0
"ME","TANK",2043,0
"ME","TANK",2044,0
"ME","TANK",2045,0
"ME","TANK",2046,0
"ME","TANK",2047,0
"ME","TANK",2048,0
"ME","TANK",2049,0
"ME","TANK",2050,0
"E","TANK",2019,0
"E","TANK",2020,0
"E","TANK",2021,0
"E","TANK",2022,0
"E","TANK",2023,0
"E","TANK",2024,0
"E","TANK",2025,0
"E","TANK",2026,0
"E","TANK",2027,0
"E","TANK",2028,0
"E","TANK",2029,0
"E","TANK",2030,0
"E","TANK",2031,0
"E","TANK",2032,0
"E","TANK",2033,0
"E","TANK",2034,0
"E","TANK",2035,0
"E","TANK",2036,0
"E","TANK",2037,0
"E","TANK",2038,0
"E","TANK",2039,0
"E","TANK",2040,0
"E","TANK",2041,0
"E","TANK",2042,0
"E","TANK",2043,0
"E","TANK",2044,0
"E","TANK",2045,0
"E","TANK",2046,0
"E","TANK",2047,0
"E","TANK",2048,0
"E","TANK",2049,0
"E","TANK",2050,-1.11022302462516e-16
